quants      kappa      lambda      nu      beta      model
swipeQuality      1.0      2.0      4.0      0.75      MS_TAM_1-2pt5_Tiny

swipeQuality      1.0      2.0      1.0      0.01      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      0.05      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      0.1      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      0.25      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      0.5      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      0.75      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      1.0      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      1.5      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      2.0      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      3.0      MS_TAM_1-2pt5_Tiny
swipeQuality      1.0      2.0      1.0      4.0      MS_TAM_1-2pt5_Tiny
