quants      kappa      lambda      nu      beta      model
swipeQuality      1.0      2.0      0.01      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      0.05      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      0.1      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      0.25      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      0.5      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      0.75      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.0      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.5      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      2.0      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      3.0      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      4.0      0.75      MS_TPN_1pt5-1_SOLI

swipeQuality      1.0      2.0      1.0      0.01      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.0      0.05      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.0      0.1      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.0      0.25      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.0      0.5      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.0      0.75      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.0      1.0      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.0      1.5      MS_TPN_1pt5-1_SOLI
swipeQuality      1.0      2.0      1.0      2.0      MS_MViT_pt5-1pt5_SOLI
swipeQuality      1.0      2.0      1.0      3.0      MS_TPN_1-1pt5_SOLI
swipeQuality      1.0      2.0      1.0      4.0      MS_TPN_1-1pt5_SOLI
