Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
masterFace           Ar_psi     ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
masterFace           Cd_psi     DGBQA_CGID_Res3D-ViViT_1-1_SCUT.npz           0.3876           0.6667           5.3787           0.7946           0.4891
masterFace           euclid     DGBQA_CGID_Res3D-ViViT_1-1_SCUT.npz           0.3876           0.6667           5.3787           0.7946           0.4891
masterFace           corr     DGBQA_CGID_Res3D-ViViT_1-1_SCUT.npz           0.3876           0.6667           5.3787           0.7946           0.4891
masterFace           DCG     ms_mf_1-pt5_scut.npz           0.3138           1.3333           4.8457           2.6705           0.4623
masterFace           Kendall     DGBQA_CGID_Res3D-ViViT_1-pt5_SCUT.npz           0.0666           2.3333           3.8078           2.8302           0.5212
masterFace           ERR     ms_mf_1-pt5_scut.npz           0.3138           1.3333           4.8457           2.6705           0.4623
masterFace           ERR     ms_mf_1-pt5_scut.npz           0.3138           1.3333           4.8457           2.6705           0.4623
masterFace           U     ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
masterFace           GRE     ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
masterFace           infAp     ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
masterFace           NegRel     ms_mf_pt5-pt05_scut.npz           0.2535           1.6667           4.3889           2.7058           0.496
masterFace           RPP     ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693
masterFace           relEnt     ms_mvit_1-1_scut.npz           0.5709           0.0           5.556           1.6178           0.4693

genCapacity           Ar*     ms_vivit_1-pt01_scut.npz           0.4928           0.6667           4.8693           2.5293           0.502
genCapacity           R     ms_mvit_1pt5-1_scut.npz           0.4072           1.0           4.913           2.5485           0.4957
genCapacity           psi     ms_mvit_pt5-1_scut.npz           0.2708           1.3333           3.6726           1.3199           0.4275
genCapacity           r     ms_mvit_1-pt5_scut.npz           0.4066           0.6667           4.9075           2.5171           0.5171
genCapacity           Ar     ms_vivit_1-pt01_scut.npz           0.4928           0.6667           4.8693           2.5293           0.502
genCapacity           ArCd     ms_vivit_1-pt01_scut.npz           0.4928           0.6667           4.8693           2.5293           0.502
genCapacity           Ar_psi     ms_vivit_1-pt01_scut.npz           0.4928           0.6667           4.8693           2.5293           0.502
genCapacity           Cd_psi     ms_mvit_pt5-1_scut.npz           0.2708           1.3333           3.6726           1.3199           0.4275
genCapacity           euclid     ms_mf_pt5-1_scut.npz           0.2914           1.0           4.4341           2.2326           0.521
genCapacity           corr     ms_mf_pt5-1_scut.npz           0.2914           1.0           4.4341           2.2326           0.521
genCapacity           DCG     ms_mvit_1-pt5_scut.npz           0.4066           0.6667           4.9075           2.5171           0.5171
genCapacity           Kendall     ms_mvit_1-1_scut.npz           0.1713           2.0           3.0891           1.55           0.4693
genCapacity           ERR     ms_mvit_1pt5-1_scut.npz           0.4072           1.0           4.913           2.5485           0.4957
genCapacity           U     ms_mvit_1pt5-1_scut.npz           0.4072           1.0           4.913           2.5485           0.4957
genCapacity           GRE     ms_mvit_1-pt5_scut.npz           0.4066           0.6667           4.9075           2.5171           0.5171
genCapacity           infAp     ms_mvit_1-pt5_scut.npz           0.4066           0.6667           4.9075           2.5171           0.5171
genCapacity           NegRel     DGBQA_CGID_Res3D-ViViT_1-pt5_SCUT.npz           0.36           1.3333           4.6327           3.33           0.5212
genCapacity           RPP     ms_vivit_1-pt01_scut.npz           0.4928           0.6667           4.8693           2.5293           0.502
genCapacity           relEnt     ms_mvit_pt5-pt5_scut.npz           0.3849           1.0           4.9109           2.5224           0.4356

swipeQuality           Ar*     ms_mvit_1pt5-pt05_scut.npz           0.2718           1.3333           4.5159           2.8687           0.39
swipeQuality           R     ms_mf_pt5-pt05_scut.npz           0.1261           1.3333           5.0028           3.9987           0.496
swipeQuality           psi     ms_mvit_pt5-1_scut.npz           0.148           1.3333           4.366           2.6208           0.4275
swipeQuality           r     ms_mf_1pt5-pt05_scut.npz           0.2443           1.0           4.955           3.7869           0.5268
swipeQuality           Ar     ms_vivit_1pt5-pt05_scut.npz           0.2589           1.3333           4.4052           3.6124           0.5481
swipeQuality           ArCd     ms_mvit_1pt5-pt05_scut.npz           0.2718           1.3333           4.5159           2.8687           0.39
swipeQuality           Ar_psi     ms_vivit_1pt5-pt05_scut.npz           0.2589           1.3333           4.4052           3.6124           0.5481
swipeQuality           Cd_psi     ms_mvit_1pt5-pt05_scut.npz           0.2718           1.3333           4.5159           2.8687           0.39
swipeQuality           euclid     ms_mvit_pt5-1_scut.npz           0.148           1.3333           4.366           2.6208           0.4275
swipeQuality           corr     ms_mvit_pt5-1_scut.npz           0.148           1.3333           4.366           2.6208           0.4275
swipeQuality           DCG     DGBQA_CGID_Res3D-ViViT_1-1pt5_SCUT.npz           0.2577           1.3333           4.4449           2.9957           0.5204
swipeQuality           Kendall     ms_mvit_pt5-pt5_scut.npz           0.0674           2.6667           2.5866           3.1355           0.4356
swipeQuality           ERR     DGBQA_CGID_Res3D-ViViT_1-1pt5_SCUT.npz           0.2577           1.3333           4.4449           2.9957           0.5204
swipeQuality           U     ms_mf_pt5-pt05_scut.npz           0.1261           1.3333           5.0028           3.9987           0.496
swipeQuality           GRE     ms_mf_1pt5-pt05_scut.npz           0.2443           1.0           4.955           3.7869           0.5268
swipeQuality           infAp     ms_mf_pt5-pt05_scut.npz           0.1261           1.3333           5.0028           3.9987           0.496
swipeQuality           NegRel     ms_mf_1pt5-pt05_scut.npz           0.2443           1.0           4.955           3.7869           0.5268
swipeQuality           RPP     ms_vivit_1pt5-pt05_scut.npz           0.2589           1.3333           4.4052           3.6124           0.5481
swipeQuality           relEnt     ms_mvit_1pt5-pt05_scut.npz           0.2718           1.3333           4.5159           2.8687           0.39
