Quantifier             Metric             selectedModel                                               nAr*             r             R             Psi             Cd
masterFace           euclid           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           euclid           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           euclid           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAcc_bdb.npz           0.0451           2.0           1.1602           3.2972           0.1091
dgbqa           corr           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.0465           2.0           1.6392           4.2435           0.2075
deltaDistance           corr           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           corr           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           corr           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           corr           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAcc_bdb.npz           0.0451           2.0           1.1602           3.2972           0.1091
dgbqa           DCG           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.0465           2.0           1.6392           4.2435           0.2075
deltaDistance           DCG           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           DCG           idf_vanilla_bdLSTM_1-1pt5-1pt5_sensorAcc_bdb.npz           0.0154           2.0           -0.0981           6.9415           0.1276
genCapacity           DCG           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           DCG           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAcc_bdb.npz           0.0451           2.0           1.1602           3.2972           0.1091
dgbqa           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.0394           2.0           1.4199           4.0736           0.3527
deltaDistance           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.039           2.0           1.1278           3.531           0.3527
masterFace           Kendall           idf_vanilla_bdLSTM_1-pt5-pt1_sensorAcc_bdb.npz           0.0145           2.0           -0.0984           6.9413           0.2043
genCapacity           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.0499           2.25           1.201           3.4709           0.3527
swipeQuality           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.0375           2.0           1.1077           3.3458           0.3527
dgbqa           ERR           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.0465           2.0           1.6392           4.2435           0.2075
deltaDistance           ERR           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           ERR           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           ERR           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           ERR           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAcc_bdb.npz           0.0451           2.0           1.1602           3.2972           0.1091
dgbqa           U           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.0465           2.0           1.6392           4.2435           0.2075
deltaDistance           U           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorAcc_bdb.npz           0.1166           1.5           1.8404           4.3349           0.1151
masterFace           U           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAcc_bdb.npz           0.1397           1.5           2.5           3.4776           0.3527
genCapacity           U           idf_vanilla_bdLSTM_1-2-pt1_sensorAcc_bdb.npz           0.096           1.5           1.201           3.4708           0.2075
swipeQuality           U           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAcc_bdb.npz           0.0451           2.0           1.1602           3.2972           0.1091
dgbqa           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorAcc_bdb.npz           0.1108           1.5           1.4058           4.0431           0.1326
