Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           DCG           DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny           0.2451           1.4545           8.4478           2.2668           0.502
deltaDistance           DCG           MS_TAM_1-1pt5_Tiny           0.0852           2.3636           7.8719           3.2788           0.5703
masterFace           DCG           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           DCG           DGBQA_CGID_Res3D-ViViT_1-1_Tiny           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           DCG           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           Kendall           DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny           0.2451           1.4545           8.4478           2.2668           0.502
deltaDistance           Kendall           MS_TAM_1-1_Tiny           0.1503           2.0           7.0006           3.3392           0.6514
masterFace           Kendall           DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny           0.2547           1.0909           8.1552           3.3549           0.502
genCapacity           Kendall           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           Kendall           DGBQA_CGID_Res3D-ViViT_1-1_Tiny           0.0432           4.5455           4.5401           5.177           0.5151

dgbqa           ERR           DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny           0.2451           1.4545           8.4478           2.2668           0.502
deltaDistance           ERR           MS_TAM_1-1pt5_Tiny           0.0852           2.3636           7.8719           3.2788           0.5703
masterFace           ERR           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           ERR           DGBQA_CGID_Res3D-ViViT_1-1_Tiny           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           ERR           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           U           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2413           1.4545           8.5006           2.1387           0.5408
deltaDistance           U           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           U           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           U           DGBQA_CGID_Res3D-ViViT_1-1_Tiny           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           U           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           GRE           MS_MF_1-1_Tiny           0.2369           1.4545           8.3732           2.2927           0.5098
deltaDistance           GRE           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
