Quantifier             Metric             selectedModel                                             nAr*             r             R             Psi             Cd
masterFace           corr           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.187           1.5           2.5           3.7025           0.1037
genCapacity           corr           ms_skateformer_1-1pt5-pt01-multiStepmin3_ntu120.npz           0.2018           1.0           3.9638           2.7506           0.2123
swipeQuality           corr           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           DCG           ms_hcn_1-1-pt5-multiStepmin3_ntu120.npz           0.3186           1.0           3.2953           4.1555           0.1068
deltaDistance           DCG           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace           DCG           ms_skateformer_1-1-pt01-multiStepmin3_ntu120.npz           0.1622           1.0           3.4171           8.9677           0.2092
genCapacity           DCG           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           DCG           ms_hcn_1-pt5-pt5-multiStepmin3_ntu120.npz           0.5148           1.0           3.764           3.1801           0.0773
dgbqa           Kendall           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
deltaDistance           Kendall           ms_hcn_1-2-pt05-multiStepmin3_ntu120.npz           0.3107           0.5           3.1627           4.1824           0.2585
masterFace           Kendall           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.251           0.5           3.3661           8.9159           0.1384
genCapacity           Kendall           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.179           1.25           2.933           4.458           0.1037
swipeQuality           Kendall           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           ERR           ms_hcn_1-1-pt5-multiStepmin3_ntu120.npz           0.3186           1.0           3.2953           4.1555           0.1068
deltaDistance           ERR           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace           ERR           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.187           1.5           2.5           3.7025           0.1037
genCapacity           ERR           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           ERR           ms_hcn_1-pt5-pt5-multiStepmin3_ntu120.npz           0.5148           1.0           3.764           3.1801           0.0773
dgbqa           U           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.1933           1.0           3.7822           3.464           0.1384
deltaDistance           U           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace           U           ms_skateformer_1-1-pt01-multiStepmin3_ntu120.npz           0.1622           1.0           3.4171           8.9677           0.2092
