Quantifier             Metric             selectedModel                                                 nAr*             r             R             Psi             Cd
masterFace           DCG           idf_vanilla_bdLSTM_1-2-pt5_sensorGrav_bdb.npz           0.1159           1.0           3.3912           9.0378           0.1778
swipeQuality           DCG           idf_vanilla_bdLSTM_1-2-pt1_sensorGrav_bdb.npz           0.1528           1.5           2.9039           4.5488           0.2706
dgbqa           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
deltaDistance           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorGrav_bdb.npz           0.1019           1.5           3.0212           5.1658           0.147
masterFace           Kendall           idf_vanilla_bdLSTM_1-1-pt5_sensorGrav_bdb.npz           0.1028           1.5           3.3662           9.014           0.1539
swipeQuality           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1169           1.5           2.8232           4.9133           0.146
dgbqa           ERR           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorGrav_bdb.npz           0.1289           1.0           3.206           4.8612           0.2553
deltaDistance           ERR           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorGrav_bdb.npz           0.15           1.0           3.3454           4.5878           0.1059
masterFace           ERR           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1248           1.5           2.5           3.9734           0.146
swipeQuality           ERR           idf_vanilla_lgtranet_k3-5_1-1pt5-1_sensorGrav_bdb.npz           0.1162           1.5           2.8696           5.1146           0.1022
dgbqa           U           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
deltaDistance           U           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorGrav_bdb.npz           0.15           1.0           3.3454           4.5878           0.1059
masterFace           U           idf_vanilla_bdLSTM_1-2-pt5_sensorGrav_bdb.npz           0.1159           1.0           3.3912           9.0378           0.1778
swipeQuality           U           idf_vanilla_bdLSTM_1-2-pt1_sensorGrav_bdb.npz           0.1528           1.5           2.9039           4.5488           0.2706
dgbqa           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
deltaDistance           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1396           1.0           3.2212           4.8129           0.146
masterFace           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1248           1.5           2.5           3.9734           0.146
swipeQuality           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1169           1.5           2.8232           4.9133           0.146
dgbqa           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
deltaDistance           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1396           1.0           3.2212           4.8129           0.146
masterFace           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1248           1.5           2.5           3.9734           0.146
genCapacity           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1607           1.25           2.933           4.5064           0.146
swipeQuality           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1169           1.5           2.8232           4.9133           0.146
dgbqa           NegRel           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorGrav_bdb.npz           0.1289           1.0           3.206           4.8612           0.2553
deltaDistance           NegRel           idf_vanilla_bdLSTM_1-1-pt1_sensorGrav_bdb.npz           0.1302           1.0           3.1587           4.9286           0.2187
masterFace           NegRel           idf_vanilla_bdLSTM_1-pt5-1_sensorGrav_bdb.npz           0.1201           1.0           3.366           9.0127           0.1314
swipeQuality           NegRel           idf_vanilla_bdLSTM_1-1-1_sensorGrav_bdb.npz           0.1053           1.5           2.5215           5.4892           0.1262
dgbqa           RPP           idf_vanilla_bdLSTM_1-1-1pt5_sensorGrav_bdb.npz           0.1435           1.0           3.0581           5.1167           0.1044
deltaDistance           RPP           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorGrav_bdb.npz           0.1019           1.5           3.0212           5.1658           0.147
masterFace           RPP           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1248           1.5           2.5           3.9734           0.146
swipeQuality           RPP           idf_vanilla_bdLSTM_1-pt5-pt5_sensorGrav_bdb.npz           0.152           1.5           2.5111           5.2587           0.1556
dgbqa           relEnt           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorGrav_bdb.npz           0.1448           1.0           3.1115           5.0386           0.0914
deltaDistance           relEnt           idf_vanilla_lgtranet_k3-5_1-2-pt5_sensorGrav_bdb.npz           0.15           1.0           3.3454           4.5878           0.1059
masterFace           relEnt           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorGrav_bdb.npz           0.1238           1.0           3.366           9.0127           0.0914
swipeQuality           relEnt           idf_vanilla_lgtranet_k3-5_1-1pt5-1_sensorGrav_bdb.npz           0.1162           1.5           2.8696           5.1146           0.1022
