Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           ArCd           idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
deltaDistance           ArCd           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           ArCd           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0701           1.5           2.5           3.9662           0.1233
genCapacity           ArCd           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0864           1.75           2.067           3.7481           0.1233
swipeQuality           ArCd           idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0406           2.0           1.9684           3.2188           0.0963
dgbqa           Ar_psi           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
deltaDistance           Ar_psi           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           Ar_psi           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           Ar_psi           idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorMagn_bdb.npz           0.0812           1.75           2.067           3.7481           0.207
swipeQuality           Ar_psi           idf_vanilla_bdLSTM_1-2-1_sensorMagn_bdb.npz           0.0409           2.0           1.3549           3.0059           0.1399
dgbqa           Cd_psi           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorMagn_bdb.npz           0.0406           2.0           1.9316           2.6996           0.0967
deltaDistance           Cd_psi           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0948           1.5           2.3523           2.1806           0.1233
masterFace           Cd_psi           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0701           1.5           2.5           3.9662           0.1233
genCapacity           Cd_psi           idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0418           2.0           2.067           3.7481           0.0963
swipeQuality           Cd_psi           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorMagn_bdb.npz           0.0379           2.0           1.6509           3.1824           0.0967
dgbqa           euclid           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
deltaDistance           euclid           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           euclid           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           euclid           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0708           1.5           2.067           3.7481           0.2471
swipeQuality           euclid           idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0406           2.0           1.9684           3.2188           0.0963
dgbqa           corr           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
deltaDistance           corr           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           corr           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           corr           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0708           1.5           2.067           3.7481           0.2471
swipeQuality           corr           idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0406           2.0           1.9684           3.2188           0.0963
dgbqa           DCG           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
deltaDistance           DCG           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           DCG           idf_vanilla_bdLSTM_1-2-1pt5_sensorMagn_bdb.npz           0.0192           1.5           1.634           7.4962           0.1221
genCapacity           DCG           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0708           1.5           2.067           3.7481           0.2471
swipeQuality           DCG           idf_vanilla_bdLSTM_1-1-pt1_sensorMagn_bdb.npz           0.0361           2.0           2.0382           3.6457           0.2821
dgbqa           Kendall           idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
deltaDistance           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           Kendall           idf_vanilla_bdLSTM_1-pt5-1_sensorMagn_bdb.npz           0.0192           1.5           1.634           7.4962           0.1182
genCapacity           Kendall           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0708           1.5           2.067           3.7481           0.2471
swipeQuality           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0352           2.0           1.9445           3.5595           0.2834
dgbqa           ERR           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0401           2.0           1.9335           2.512           0.1233
deltaDistance           ERR           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           ERR           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           ERR           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0708           1.5           2.067           3.7481           0.2471
swipeQuality           ERR           idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0406           2.0           1.9684           3.2188           0.0963
dgbqa           U           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
deltaDistance           U           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           U           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           U           idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0708           1.5           2.067           3.7481           0.2471
swipeQuality           U           idf_vanilla_bdLSTM_1-1-pt1_sensorMagn_bdb.npz           0.0361           2.0           2.0382           3.6457           0.2821
dgbqa           GRE           idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
deltaDistance           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0766           1.75           2.067           3.7481           0.2834
swipeQuality           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0352           2.0           1.9445           3.5595           0.2834
dgbqa           infAp           idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
