Quantifier             Metric             selectedModel                            nAr*             r             R             Psi             Cd
masterFace           euclid           DGBQA_CGID_Res3D-MF_pt5-pt5_SOLI          0.1726           1.7273           8.2192           1.9009           0.2576
genCapacity           euclid           MS_TPN_1pt5-1_SOLI                       0.1705           1.3636           8.1003           2.6355           0.3312
swipeQuality           euclid           MS_TPN_1-1pt5_SOLI                       0.1284           2.1818           8.2672           2.1528           0.0883

dgbqa                corr           MS_TPN_1pt5-1_SOLI                                0.2461           1.0           8.6262           1.3983           0.3312
deltaDistance        corr           DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI        0.2417           1.3636           8.3735           2.3983           0.3615
masterFace           corr           DGBQA_CGID_Res3D-MF_pt5-pt5_SOLI          0.1726           1.7273           8.2192           1.9009           0.2576
genCapacity           corr           MS_TPN_1pt5-1_SOLI                      0.1705           1.3636           8.1003           2.6355           0.3312
swipeQuality           corr           MS_TPN_1-1pt5_SOLI                       0.1284           2.1818           8.2672           2.1528           0.0883

dgbqa                DCG           DGBQA_CGID_Res3D-ViViT_1-1_SOLI               0.3138           1.0           8.4063           1.6579           0.2669
deltaDistance        DCG           MS_MViT_1-1pt5_SOLI                   0.1732           1.7273           8.2591           3.4656           0.1338
masterFace           DCG           DGBQA_CGID_Res3D-MF_pt5-1_SOLI          0.3787           1.3636           7.8609           2.1854           0.2249
genCapacity          DCG           DGBQA_CGID_Res3D-ViViT_1pt5-1pt5_SOLI   0.3699           1.0           7.5652           2.3685           0.2392
swipeQuality         DCG           MS_TPN_1pt5-pt5_SOLI                   0.1219           3.3636           6.1866           4.4876           0.3797

dgbqa                   Kendall           DGBQA_CGID_Res3D-ViViT_1pt5-1_SOLI          0.2814           2.0909           8.0589           1.7653           0.3142
deltaDistance           Kendall           MS_MViT_1-pt5_SOLI                    0.1094           3.0           6.9468           4.2196           0.3481
masterFace           Kendall           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_SOLI     0.0829           3.9091           6.5373           3.6016           0.1857
genCapacity           Kendall           MS_MViT_1-1pt5_SOLI                      0.4409           1.3636           7.4417           2.5695           0.1338
swipeQuality           Kendall           DGBQA_CGID_Res3D-ViViT_1-1_SOLI          0.0223           3.9091           5.9127           3.9883           0.2669

dgbqa                   ERR           DGBQA_CGID_Res3D-MF_1-1_SOLI                  0.3146           1.0           8.6405           1.7881           0.2682
deltaDistance           ERR           MS_MViT_1-1pt5_SOLI                   0.1732           1.7273           8.2591           3.4656           0.1338
masterFace           ERR           DGBQA_CGID_Res3D-MF_pt5-1_SOLI          0.3787           1.3636           7.8609           2.1854           0.2249
genCapacity           ERR           DGBQA_CGID_Res3D-ViViT_1pt5-1pt5_SOLI  0.3699           1.0           7.5652           2.3685           0.2392
swipeQuality           ERR           MS_MViT_1-1_SOLI                       0.124           4.0909           6.3725           3.4613           0.1949

