Quantifier             Metric             selectedModel                      nAr*             r             R             Psi             Cd
swipeQuality           Ar           MS_TPN_1pt5-2pt5_HandLogin           0.749           0.25           4.0856           2.709           0.001

dgbqa           ArCd           MS_MViT_1-1pt5_HandLogin           0.6456           0.0           4.1232           1.2563           0.284
deltaDistance           ArCd           MS_ViViT_pt5-1pt5_HandLogin           0.6874           0.0           4.1121           2.0055           0.2652
masterFace           ArCd           MS_MViT_1-1_HandLogin           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           ArCd           MS_TPN_1pt5-2pt5_HandLogin           0.749           0.25           4.0856           2.709           0.001

dgbqa                   Ar_psi           MS_MViT_1-1pt5_HandLogin               0.6456           0.0           4.1232           1.2563           0.284
deltaDistance           Ar_psi           MS_ViViT_1pt5-pt5_HandLogin           0.6578           0.0           4.0681           2.0426           0.3332
masterFace           Ar_psi           MS_MViT_1-1_HandLogin                    0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           Ar_psi           MS_TPN_1pt5-2pt5_HandLogin              0.749           0.25           4.0856           2.709           0.001

dgbqa           Cd_psi           MS_TPN_1pt5-1_HandLogin           0.4883           0.5           4.0212           2.1376           0.0093
deltaDistance           Cd_psi           MS_TPN_1pt5-1_HandLogin           0.5163           0.5           3.8945           3.4145           0.0093
masterFace           Cd_psi           MS_TPN_1pt5-1_HandLogin           0.0675           2.0           1.4591           2.4034           0.0093
swipeQuality           Cd_psi           MS_TPN_1pt5-1pt5_HandLogin           0.0583           2.0           1.9215           1.3734           0.0607

dgbqa           euclid           MS_MViT_1-1_HandLogin           0.5208           0.5           3.9572           0.8276           0.3726
deltaDistance           euclid           MS_TAM_pt5-2pt5_HandLogin           0.3583           0.5           3.7353           1.1786           0.6629
masterFace           euclid           MS_MViT_1-1_HandLogin           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           euclid           MS_TAM_pt5-pt5_HandLogin           0.4792           0.5           3.8336           1.0129           0.3609

dgbqa           corr           MS_MViT_1-1_HandLogin           0.5208           0.5           3.9572           0.8276           0.3726
deltaDistance           corr           MS_TAM_pt5-2pt5_HandLogin           0.3583           0.5           3.7353           1.1786           0.6629
masterFace           corr           MS_MViT_1-1_HandLogin           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           corr           MS_TAM_pt5-pt5_HandLogin           0.4792           0.5           3.8336           1.0129           0.3609

dgbqa           DCG           MS_MViT_pt5-pt5_HandLogin           0.454           0.5           3.9355           3.1904           0.3134
deltaDistance           DCG           Test/DGBQA_CGID_Res3D-MF_1pt5-2pt5_HandLogin           0.4608           1.0           3.7854           3.1223           0.2464
masterFace           DCG           MS_TPN_pt5-pt5_HandLogin           0.417           1.0           3.7564           3.1881           0.2875
swipeQuality           DCG           MS_TPN_pt5-pt5_HandLogin           0.5559           0.5           3.8103           2.9861           0.2875

dgbqa           Kendall           MS_TAM_1-2pt5_HandLogin           0.4486           1.0           3.4754           3.6057           0.0962
deltaDistance           Kendall           MS_ViViT_1-pt5_HandLogin           0.2407           1.0           2.8937           3.751           0.3655
masterFace           Kendall           MS_TPN_1pt5-2pt5_HandLogin           0.521           0.75           3.5979           3.5259           0.001
swipeQuality           Kendall           MS_ViViT_pt5-1pt5_HandLogin           0.3106           1.0           3.0691           4.0084           0.2652

dgbqa           ERR           MS_MViT_pt5-pt5_HandLogin           0.454           0.5           3.9355           3.1904           0.3134
deltaDistance           ERR           Test/DGBQA_CGID_Res3D-MF_1pt5-2pt5_HandLogin           0.4608           1.0           3.7854           3.1223           0.2464
masterFace           ERR           MS_TPN_pt5-pt5_HandLogin           0.417           1.0           3.7564           3.1881           0.2875
swipeQuality           ERR           MS_TPN_pt5-pt5_HandLogin           0.5559           0.5           3.8103           2.9861           0.2875

dgbqa           U           MS_MViT_1-1pt5_HandLogin           0.6456           0.0           4.1232           1.2563           0.284
deltaDistance           U           MS_ViViT_pt5-1_HandLogin           0.666           0.0           4.1469           1.8596           0.3006
masterFace           U           MS_MViT_1-1_HandLogin           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           U           MS_TPN_1pt5-2pt5_HandLogin           0.749           0.25           4.0856           2.709           0.001

dgbqa           GRE           MS_MViT_pt5-1_HandLogin           0.575           0.0           4.1126           2.0918           0.3275
deltaDistance           GRE           MS_ViViT_pt5-1_HandLogin           0.666           0.0           4.1469           1.8596           0.3006
masterFace           GRE           MS_MViT_1-1_HandLogin           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           GRE           MS_TPN_1pt5-2pt5_HandLogin           0.749           0.25           4.0856           2.709           0.001

dgbqa           infAp           MS_MViT_pt5-1_HandLogin           0.575           0.0           4.1126           2.0918           0.3275
deltaDistance           infAp           MS_ViViT_pt5-1_HandLogin           0.666           0.0           4.1469           1.8596           0.3006
masterFace           infAp           MS_MViT_1-1_HandLogin           0.6366           0.0           4.1432           1.7404           0.3726
genCapacity           infAp           MS_ViViT_pt5-pt5_HandLogin           0.6302           0.0           3.9652           2.8535           0.3146
swipeQuality           infAp           MS_TPN_1pt5-2pt5_HandLogin           0.749           0.25           4.0856           2.709           0.001

dgbqa           NegRel           Test/DGBQA_CGID_Res3D-MF_1pt5-1pt5_HandLogin           0.3635           1.0           3.1694           4.1858           0.2842
deltaDistance           NegRel           MS_TPN_pt5-pt5_HandLogin           0.384           1.0           3.5926           3.5906           0.2875
masterFace           NegRel           MS_TPN_1pt5-pt5_HandLogin           0.3567           1.0           3.444           3.9647           0.2168
swipeQuality           NegRel           MS_ViViT_1-1pt5_HandLogin           0.409           1.0           3.4518           3.7741           0.3034

dgbqa           RPP           MS_MViT_1pt5-1_HandLogin           0.56           0.0           4.0837           2.2036           0.3181
deltaDistance           RPP           Test/DGBQA_CGID_Res3D-MF_1-pt5_HandLogin           0.6102           0.0           4.0953           2.6141           0.3283
masterFace           RPP           MS_MViT_1pt5-1_HandLogin           0.5678           0.0           4.0951           2.1267           0.3181
swipeQuality           RPP           MS_TPN_1pt5-2pt5_HandLogin           0.749           0.25           4.0856           2.709           0.001

dgbqa           relEnt           MS_TPN_1pt5-1_HandLogin           0.4883           0.5           4.0212           2.1376           0.0093
deltaDistance           relEnt           MS_TPN_1pt5-1_HandLogin           0.5163           0.5           3.8945           3.4145           0.0093
masterFace           relEnt           MS_TPN_1pt5-2pt5_HandLogin           0.521           0.75           3.5979           3.5259           0.001
swipeQuality           relEnt           MS_TPN_1pt5-2pt5_HandLogin           0.749           0.25           4.0856           2.709           0.001
