Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
genCapacity           DCG           idf_vanilla_bdLSTM_1-pt5-1_sensorAccl_bdb.npz           0.706           0.0           3.8052           1.4853           0.1149
swipeQuality           DCG           idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorAccl_bdb.npz           0.7266           0.0           3.9483           1.1975           0.1427
dgbqa           Kendall           idf_vanilla_bdLSTM_1-2-pt5_sensorAccl_bdb.npz           0.6059           0.5           4.085           0.4628           0.2022
deltaDistance           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.5693           0.5           3.9775           0.6996           0.1938
masterFace           Kendall           idf_vanilla_bdLSTM_1-2-pt5_sensorAccl_bdb.npz           0.8414           0.5           5.0985           3.0024           0.2022
genCapacity           Kendall           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.6636           0.75           3.799           1.5018           0.1938
swipeQuality           Kendall           idf_vanilla_lgtranet_k3-5_1-1-1_sensorAccl_bdb.npz           0.6308           0.5           3.9202           1.1213           0.1694
dgbqa           ERR           idf_vanilla_bdLSTM_1-1pt5-1_sensorAccl_bdb.npz           0.8481           0.0           4.0991           0.1393           0.171
deltaDistance           ERR           idf_vanilla_bdLSTM_1-pt5-pt5_sensorAccl_bdb.npz           0.6954           0.5           4.0556           0.3282           0.1725
masterFace           ERR           idf_vanilla_bdLSTM_1-1-pt1_sensorAccl_bdb.npz           0.8416           0.0           5.126           2.9282           0.2352
genCapacity           ERR           idf_vanilla_bdLSTM_1-pt5-1_sensorAccl_bdb.npz           0.706           0.0           3.8052           1.4853           0.1149
swipeQuality           ERR           idf_vanilla_lgtranet_k3-5_1-pt5-1_sensorAccl_bdb.npz           0.7266           0.0           3.9483           1.1975           0.1427
dgbqa           U           idf_vanilla_bdLSTM_1-1-pt1_sensorAccl_bdb.npz           0.6506           0.0           4.1443           0.7997           0.2352
deltaDistance           U           idf_vanilla_bdLSTM_1-1-1pt5_sensorAccl_bdb.npz           0.8084           0.0           4.1506           0.4663           0.0966
masterFace           U           idf_vanilla_bdLSTM_1-2-pt1_sensorAccl_bdb.npz           0.8166           0.0           5.1795           2.7784           0.2877
genCapacity           U           idf_vanilla_bdLSTM_1-pt5-1_sensorAccl_bdb.npz           0.706           0.0           3.8052           1.4853           0.1149
swipeQuality           U           idf_vanilla_bdLSTM_1-1-1pt5_sensorAccl_bdb.npz           0.7662           0.0           4.1502           0.8003           0.0966
dgbqa           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.6656           0.0           4.0807           0.7603           0.1938
deltaDistance           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorAccl_bdb.npz           0.6762           0.0           4.1147           0.8478           0.1566
masterFace           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.0802           1.5           2.5           4.1828           0.1938
genCapacity           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.6636           0.75           3.799           1.5018           0.1938
swipeQuality           GRE           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.7094           0.0           3.9492           1.1074           0.1938
dgbqa           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.6656           0.0           4.0807           0.7603           0.1938
deltaDistance           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorAccl_bdb.npz           0.6762           0.0           4.1147           0.8478           0.1566
masterFace           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.0802           1.5           2.5           4.1828           0.1938
genCapacity           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.6636           0.75           3.799           1.5018           0.1938
swipeQuality           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.7094           0.0           3.9492           1.1074           0.1938
dgbqa           NegRel           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.6656           0.0           4.0807           0.7603           0.1938
deltaDistance           NegRel           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.5693           0.5           3.9775           0.6996           0.1938
masterFace           NegRel           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.0802           1.5           2.5           4.1828           0.1938
genCapacity           NegRel           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.6636           0.75           3.799           1.5018           0.1938
swipeQuality           NegRel           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.7094           0.0           3.9492           1.1074           0.1938
dgbqa           RPP           idf_vanilla_lgtranet_k3-5_1-pt5-pt5_sensorAccl_bdb.npz           0.6019           0.0           4.0756           1.2545           0.1839
deltaDistance           RPP           idf_vanilla_bdLSTM_1-2-pt5_sensorAccl_bdb.npz           0.5383           0.0           3.9433           1.6595           0.2022
masterFace           RPP           idf_vanilla_bdLSTM_1-pt5-pt5_sensorAccl_bdb.npz           0.8774           0.0           5.0981           3.0036           0.1725
genCapacity           RPP           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorAccl_bdb.npz           0.6636           0.75           3.799           1.5018           0.1938
swipeQuality           RPP           idf_vanilla_lgtranet_k3-5_1-1pt5-1_sensorAccl_bdb.npz           0.7336           0.0           3.9378           1.0998           0.1506
dgbqa           relEnt           idf_vanilla_bdLSTM_1-2-1pt5_sensorAccl_bdb.npz           0.7814           0.0           4.1179           0.4876           0.0947
deltaDistance           relEnt           idf_vanilla_bdLSTM_1-1-1pt5_sensorAccl_bdb.npz           0.8084           0.0           4.1506           0.4663           0.0966
masterFace           relEnt           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAccl_bdb.npz           0.9316           0.0           5.0981           3.0036           0.0926
genCapacity           relEnt           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorAccl_bdb.npz           0.7159           0.0           3.7991           1.5016           0.0926
swipeQuality           relEnt           idf_vanilla_bdLSTM_1-1-1pt5_sensorAccl_bdb.npz           0.7662           0.0           4.1502           0.8003           0.0966
