Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
masterFace           Ar           ms_skateformer_1-pt5-pt05-multiStepmin3_ntu60.npz           0.1902           1.6667           4.9265           12.4357           0.2872
genCapacity           Ar           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.6068           0.3333           4.8693           2.5072           0.2136
swipeQuality           Ar           ms_skateformer_1-1-pt5-multiStepmin3_ntu60.npz           0.5219           0.3333           5.4239           2.1971           0.1843
dgbqa           ArCd           ms_hcn_1-2-pt01-multiStepmin3_ntu60.npz           0.4513           1.0           4.8613           3.0929           0.1626
deltaDistance           ArCd           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.5467           0.3333           5.4775           2.3241           0.2136
masterFace           ArCd           ms_skateformer_1-pt5-pt05-multiStepmin3_ntu60.npz           0.1902           1.6667           4.9265           12.4357           0.2872
genCapacity           ArCd           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.6068           0.3333           4.8693           2.5072           0.2136
swipeQuality           ArCd           ms_skateformer_1-1-pt5-multiStepmin3_ntu60.npz           0.5219           0.3333           5.4239           2.1971           0.1843
dgbqa           Ar_psi           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.4662           0.6667           5.445           2.2037           0.2136
deltaDistance           Ar_psi           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.5467           0.3333           5.4775           2.3241           0.2136
masterFace           Ar_psi           ms_skateformer_1-1pt5-pt5-multiStepmin3_ntu60.npz           0.2043           2.0           5.4186           6.8594           0.1978
genCapacity           Ar_psi           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.6068           0.3333           4.8693           2.5072           0.2136
dgbqa           Cd_psi           ms_hcn_1-pt5-1pt5-multiStepmin3_ntu60.npz           0.0333           2.6667           3.0685           2.8185           0.0684
deltaDistance           Cd_psi           ms_hcn_1-pt5-1pt5-multiStepmin3_ntu60.npz           0.0682           2.3333           2.9827           3.1064           0.0684
masterFace           Cd_psi           ms_hcn_1-pt5-1pt5-multiStepmin3_ntu60.npz           0.1077           2.5           3.5           2.5467           0.0684
genCapacity           Cd_psi           ms_hcn_1-pt5-1-multiStepmin3_ntu60.npz           0.5068           1.3333           4.8693           2.5072           0.1123
swipeQuality           Cd_psi           ms_hcn_1-1pt5-pt5-multiStepmin3_ntu60.npz           0.5527           0.3333           5.4199           1.5235           0.12
dgbqa           euclid           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.4662           0.6667           5.445           2.2037           0.2136
deltaDistance           euclid           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.5467           0.3333           5.4775           2.3241           0.2136
masterFace           euclid           ms_skateformer_1-1pt5-pt5-multiStepmin3_ntu60.npz           0.2043           2.0           5.4186           6.8594           0.1978
genCapacity           euclid           ms_skateformer_1-2-pt05-multiStepmin3_ntu60.npz           0.3922           0.6667           5.3072           1.5407           0.3143
swipeQuality           euclid           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.4452           0.6667           5.3846           1.9272           0.1469
dgbqa           corr           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.4662           0.6667           5.445           2.2037           0.2136
deltaDistance           corr           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.5467           0.3333           5.4775           2.3241           0.2136
masterFace           corr           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.1015           2.5           3.5           2.5467           0.1469
genCapacity           corr           ms_skateformer_1-2-pt05-multiStepmin3_ntu60.npz           0.3922           0.6667           5.3072           1.5407           0.3143
swipeQuality           corr           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.4452           0.6667           5.3846           1.9272           0.1469
dgbqa           DCG           ms_hcn_1-1-pt5-multiStepmin3_ntu60.npz           0.432           1.3333           4.7697           3.6784           0.1153
deltaDistance           DCG           ms_hcn_1-pt5-1-multiStepmin3_ntu60.npz           0.3336           2.0           4.4698           3.301           0.1123
masterFace           DCG           ms_skateformer_1-1pt5-pt5-multiStepmin3_ntu60.npz           0.2043           2.0           5.4186           6.8594           0.1978
genCapacity           DCG           ms_hcn_1-1-pt05-multiStepmin3_ntu60.npz           0.4083           1.0           4.872           2.5088           0.3011
swipeQuality           DCG           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.4452           0.6667           5.3846           1.9272           0.1469
dgbqa           Kendall           ms_hcn_1-1-1pt5-multiStepmin3_ntu60.npz           0.425           0.6667           5.0639           2.6139           0.1396
deltaDistance           Kendall           ms_hcn_1-pt5-pt5-multiStepmin3_ntu60.npz           0.2656           1.3333           4.2969           3.868           0.1159
genCapacity           Kendall           ms_hcn_1-pt5-pt5-multiStepmin3_ntu60.npz           0.1751           1.3333           2.6784           3.5883           0.1159
swipeQuality           Kendall           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.4452           0.6667           5.3846           1.9272           0.1469
dgbqa           ERR           ms_hcn_1-1-pt5-multiStepmin3_ntu60.npz           0.432           1.3333           4.7697           3.6784           0.1153
masterFace           ERR           ms_skateformer_1-pt5-pt05-multiStepmin3_ntu60.npz           0.1902           1.6667           4.9265           12.4357           0.2872
genCapacity           ERR           ms_hcn_1-1-pt05-multiStepmin3_ntu60.npz           0.4083           1.0           4.872           2.5088           0.3011
deltaDistance           U           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.5467           0.3333           5.4775           2.3241           0.2136
masterFace           GRE           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.1015           2.5           3.5           2.5467           0.1469
dgbqa           ERR           ms_hcn_1-1-pt5-multiStepmin3_ntu60.npz           0.432           1.3333           4.7697           3.6784           0.1153
dgbqa           ERR           ms_hcn_1-1-pt5-multiStepmin3_ntu60.npz           0.432           1.3333           4.7697           3.6784           0.1153
