dataset      quants      measure1      measure2      CorrSpear      pValSpear      CorrKend      pValKend
ntu_120      dgbqa              r      relevance      -0.7781      0.0      -0.6478      0.0
ntu_120      deltaDistance      r      relevance      -0.8364      0.0      -0.6961      0.0
ntu_120      genCapacity      r      relevance      -0.8793      0.0      -0.7623      0.0
ntu_120      masterFace      r      relevance      -0.3815      0.0152      -0.3331      0.0186
ntu_120      swipeQuality      r      relevance      -0.8554      0.0      -0.7152      0.0

ntu_120      dgbqa              r      psi      0.6666      0.0      0.5593      0.0
ntu_120      deltaDistance      r      psi      0.3215      0.0431      0.2727      0.0324
ntu_120      genCapacity      r      psi      0.2856      0.074      0.2289      0.0651
ntu_120      masterFace      r      psi      -0.094      0.5641      -0.0798      0.573
ntu_120      swipeQuality      r      psi      0.5218      0.0006      0.4356      0.0009

ntu_120      dgbqa          relevance      psi      -0.5767      0.0001      -0.5179      0.0
ntu_120      deltaDistance      relevance      psi      -0.2713      0.0904      -0.2103      0.056
ntu_120      genCapacity      relevance      psi      -0.1701      0.2941      -0.152      0.1689
ntu_120      masterFace      relevance      psi      0.7591      0.0      0.4746      0.0002
ntu_120      swipeQuality      relevance      psi      -0.6934      0.0      -0.4821      0.0


ntu_120      dgbqa      r      Ar_star      -0.5915      0.0001      -0.494      0.0002
ntu_120      deltaDistance      r      Ar_star      -0.7923      0.0      -0.669      0.0
ntu_120      genCapacity      r      Ar_star      -0.8373      0.0      -0.7117      0.0
ntu_120      masterFace      r      Ar_star      -0.1453      0.3711      -0.1183      0.3684
ntu_120      swipeQuality      r      Ar_star      -0.8554      0.0      -0.7152      0.0
ntu_120      dgbqa      relevance      Ar_star      0.3171      0.0462      0.2462      0.0253
ntu_120      deltaDistance      relevance      Ar_star      0.6919      0.0      0.5308      0.0
ntu_120      genCapacity      relevance      Ar_star      0.9243      0.0      0.7671      0.0
ntu_120      masterFace      relevance      Ar_star      -0.5927      0.0001      -0.3774      0.0014
ntu_120      swipeQuality      relevance      Ar_star      0.9767      0.0      0.8949      0.0
ntu_120      dgbqa      psi      Ar_star      -0.7137      0.0      -0.5179      0.0
ntu_120      deltaDistance      psi      Ar_star      -0.3857      0.014      -0.3513      0.0014
ntu_120      genCapacity      psi      Ar_star      -0.1264      0.4372      -0.0552      0.6164
ntu_120      masterFace      psi      Ar_star      -0.8622      0.0      -0.7223      0.0
ntu_120      swipeQuality      psi      Ar_star      -0.6126      0.0      -0.3872      0.0004
ntu_120      dgbqa      euclid      Ar_star      -0.7567      0.0      -0.5769      0.0
ntu_120      deltaDistance      euclid      Ar_star      -0.7889      0.0      -0.6103      0.0
ntu_120      genCapacity      euclid      Ar_star      -0.9161      0.0      -0.7556      0.0
ntu_120      masterFace      euclid      Ar_star      -0.8586      0.0      -0.7135      0.0
